time,delay (seconds)
0.1903519630432129,0.190
3.109464406967163,0.010
5.237877368927002,0.223
7.8120715618133545,0.297
time,delay (seconds)
0.005107879638671875,0.005
1.6758499145507812,0.003
3.1034295558929443,0.009
5.963805675506592,0.009
8.478793621063232,0.004
time,delay (seconds)
0.010318279266357422,0.010
1.7737758159637451,0.040
4.771599769592285,0.033
time,delay (seconds)
0.01284933090209961,0.013
1.0280420780181885,0.014
2.0444490909576416,0.015
3.053318977355957,0.007
4.078380584716797,0.024
5.102628707885742,0.023
6.146328687667847,0.042
7.151152849197388,0.004
8.190081357955933,0.039
9.231164693832397,0.040
time,delay (seconds)
0.04777693748474121,0.048
1.1623523235321045,0.113
2.210279941558838,0.047
3.3038597106933594,0.093
4.379419565200806,0.074
5.498490333557129,0.118
6.616589546203613,0.117
7.707748651504517,0.090
time,delay (seconds)
0.6842873096466064,0.684
1.9423232078552246,0.257
3.5981733798980713,0.655
4.747828722000122,0.148
6.131535053253174,0.383
7.360079765319824,0.227
8.55016565322876,0.190
time,delay (seconds)
0.7569475173950195,0.757
1.9430172443389893,0.185
3.612971544265747,0.669
4.812148809432983,0.198
5.8869335651397705,0.074
7.170126438140869,0.282
8.650819301605225,0.479
10.020683526992798,0.369
11.775938749313354,0.754
time,delay (seconds)
0.004152059555053711,0.004
1.0151150226593018,0.010
2.0265297889709473,0.009
3.0380828380584717,0.010
4.051054954528809,0.011
5.063221454620361,0.010
6.074854612350464,0.010
7.088226318359375,0.011
8.09257698059082,0.002
9.096359729766846,0.003
10.108811378479004,0.011
11.119776010513306,0.009
12.131695985794067,0.010
13.142930507659912,0.009
14.156012058258057,0.012
15.169455766677856,0.011
time,delay (seconds)
0.012143135070800781,0.012
1.0573194026947021,0.044
2.1011364459991455,0.043
3.145533323287964,0.043
4.190304756164551,0.044
5.229838132858276,0.039
6.27494740486145,0.044
7.320176362991333,0.044
8.367009401321411,0.045
9.41114854812622,0.043
10.451903581619263,0.039
11.499140739440918,0.046
12.541643857955933,0.041
13.58732557296753,0.045
14.631109237670898,0.042
15.675764083862305,0.043
16.720472812652588,0.043
17.765681505203247,0.044
18.806594133377075,0.040
19.850568294525146,0.043
20.89520835876465,0.043
21.941195964813232,0.045
22.985085010528564,0.043
24.030765056610107,0.044
25.075184106826782,0.043
26.120357275009155,0.044
time,delay (seconds)
0.08197522163391113,0.082
1.1990184783935547,0.116
2.3159515857696533,0.116
3.434112071990967,0.117
4.552074432373047,0.117
time,delay (seconds)
0.7785334587097168,0.779
2.5750021934509277,0.795
4.396068811416626,0.820
6.198206663131714,0.801
8.035693168640137,0.836
9.844959259033203,0.808
11.664902448654175,0.819
time,delay (seconds)
8.04259729385376,8.043
17.172075271606445,8.128
time,delay (seconds)
time,delay (seconds)
0.003959178924560547,0.004
time,delay (seconds)
0.0040302276611328125,0.004
1.6606934070587158,0.010
time,delay (seconds)
time,delay (seconds)
0.004037618637084961,0.004
1.7472708225250244,0.009
3.541226863861084,0.010
4.991645812988281,0.009
6.972250461578369,0.009
time,delay (seconds)
0.012013435363769531,0.012
1.9885694980621338,0.043
3.7893831729888916,0.044
time,delay (seconds)
0.08564257621765137,0.086
2.1798243522644043,0.116
4.140303611755371,0.115
